state,code_state,district,code_district,code_state_district,year,population_total,area_km2,population_growth,housing_total,housing_occupied,housing_empty,household_total,household_size_avg,sex_male,sex_female,nationality_citizen,nationality_non_citizen,ethnicity_bumi,ethnicity_chinese,ethnicity_indian,ethnicity_other,age_0_14,age_15_64,age_65_above,marital_of_age,marital_never_married,marital_married,marital_widowed,marital_separated,marital_unknown,religion_muslim,religion_christian,religion_buddhist,religion_hindu,religion_other,religion_atheist,religion_unknown,density_urban,density_rural
Sarawak,13,Asajaya,29,13_29,2010,31190,303,0.9,6630,6193,437,6370,4.9,15830,15360,30986,204,28913,2038,18,17,10350,18469,2371,20840,6607,12890,1107,236,,26534,2597,30,,163,130,1736,,31190
Sarawak,13,Asajaya,29,13_29,2020,33606,303,0.7,7577,6395,1182,8065,4.2,17141,16465,33319,287,31770,1533,5,11,8423,21974,3209,25183,8863,14346,1498,476,,29688,2680,1197,1,36,4,,,33606
Sarawak,13,Pakan,30,13_30,1970,,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pakan,30,13_30,1980,,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pakan,30,13_30,1991,,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pakan,30,13_30,2000,,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pakan,30,13_30,2010,15139,925,,3956,3817,139,3836,3.9,7743,7396,15086,53,14749,289,13,35,4376,9580,1183,10763,2326,7536,705,196,,241,14126,3,15,250,417,87,,15139
Sarawak,13,Pakan,30,13_30,2020,15462,925,0.2,4502,3460,1042,3377,4.6,8160,7302,15405,57,15168,199,,38,3481,10596,1385,11981,4244,6702,713,322,,204,13654,62,,164,1378,,,15462
Sarawak,13,Selangau,31,13_31,1970,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Selangau,31,13_31,1980,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Selangau,31,13_31,1991,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Selangau,31,13_31,2000,,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Selangau,31,13_31,2010,22318,3795,,6639,5531,1108,5553,4,11256,11062,21397,921,20371,922,24,80,7122,13325,1871,15196,3546,10489,917,244,,1249,14673,16,6,958,4818,598,,22318
Sarawak,13,Selangau,31,13_31,2020,19844,3795,-1.2,7601,5897,1704,5746,3.4,10235,9609,18643,1201,18163,451,3,26,4185,13787,1872,15659,4491,9688,916,564,,1419,15510,50,1,379,2485,,,19844
Sarawak,13,Tebedu,32,13_32,1970,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tebedu,32,13_32,1980,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tebedu,32,13_32,1991,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tebedu,32,13_32,2000,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tebedu,32,13_32,2010,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tebedu,32,13_32,2020,25232,656,,6532,5070,1462,5649,4.5,12807,12425,24852,380,24356,445,30,21,5456,17536,2240,19776,6874,11447,1144,311,,1667,23488,74,,2,1,,,25232
Sarawak,13,Pusa,33,13_33,1970,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pusa,33,13_33,1980,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pusa,33,13_33,1991,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pusa,33,13_33,2000,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pusa,33,13_33,2010,,947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Pusa,33,13_33,2020,19557,947,,5393,4394,999,4605,4.3,10054,9503,18856,701,18675,163,2,16,6140,11966,1451,13417,4130,8128,905,254,,18403,1011,117,3,8,15,,,19557
Sarawak,13,Kabong,34,13_34,1970,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Kabong,34,13_34,1980,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Kabong,34,13_34,1991,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Kabong,34,13_34,2000,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Kabong,34,13_34,2010,,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Kabong,34,13_34,2020,18404,799,,5521,4188,1333,4234,4.4,9265,9139,18293,111,17473,800,,20,3978,12513,1913,14426,5019,8147,1028,232,,9344,7764,577,1,72,646,,,18404
Sarawak,13,Tanjung Manis,35,13_35,1970,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tanjung Manis,35,13_35,1980,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tanjung Manis,35,13_35,1991,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tanjung Manis,35,13_35,2000,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tanjung Manis,35,13_35,2010,,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Tanjung Manis,35,13_35,2020,7946,731,,3814,2263,1551,2539,3.1,4219,3727,7323,623,7201,109,1,12,1749,5535,662,6197,2231,3518,342,106,,6317,1241,47,2,122,217,,,7946
Sarawak,13,Sebauh,36,13_36,1970,,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Sebauh,36,13_36,1980,,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Sebauh,36,13_36,1991,,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Sebauh,36,13_36,2000,,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Sebauh,36,13_36,2010,,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Sebauh,36,13_36,2020,29606,5229,,10331,9384,947,9363,3.2,16764,12842,20687,8919,19916,690,10,71,5375,23305,926,24231,7208,16313,487,223,,10606,18653,194,8,111,34,,,29606
Sarawak,13,Bukit Mabong,37,13_37,1970,,11976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Bukit Mabong,37,13_37,1980,,11976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Bukit Mabong,37,13_37,1991,,11976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Bukit Mabong,37,13_37,2000,,11976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Bukit Mabong,37,13_37,2010,,11976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Bukit Mabong,37,13_37,2020,10155,11976,,4541,3940,601,3677,2.8,6203,3952,9447,708,9261,168,4,14,2245,6952,958,7910,2435,4864,434,177,,660,9239,100,6,12,138,,,10155
Sarawak,13,Subis,38,13_38,1970,,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Subis,38,13_38,1980,,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Subis,38,13_38,1991,,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Subis,38,13_38,2000,,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Subis,38,13_38,2010,,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Subis,38,13_38,2020,57289,3821,,20236,16128,4108,16490,3.4,31897,25392,42630,14659,40242,1969,24,395,11386,42551,3352,45903,14443,26074,2000,569,2817,26089,25283,1494,20,1172,411,2820,,57289
Sarawak,13,Beluru,39,13_39,1970,,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Beluru,39,13_39,1980,,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Beluru,39,13_39,1991,,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Beluru,39,13_39,2000,,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Beluru,39,13_39,2010,,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Beluru,39,13_39,2020,28695,4905,,9908,6424,3484,7284,4.2,15433,13262,20277,8418,19693,488,19,77,6562,20351,1782,22133,6405,13675,870,521,662,10972,15855,250,3,568,385,662,,28695
Sarawak,13,Telang Usan,40,13_40,1970,,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Telang Usan,40,13_40,1980,,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Telang Usan,40,13_40,1991,,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Telang Usan,40,13_40,2000,,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Telang Usan,40,13_40,2010,,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarawak,13,Telang Usan,40,13_40,2020,17406,9829,,6308,3708,2600,4136,4.2,9329,8077,17271,135,17051,210,2,8,4069,12269,1068,13337,4833,7848,500,156,,406,16919,74,,7,,,,17406
